"","ID","Timepoint","Prediction","Bootstrap","Jackknife"
"1","User #25372","Timepoint 1",0,59,28
"2","User #25372","Timepoint 2",0,59,28
"3","User #25372","Timepoint 3",0,59,28
"4","User #25372","Timepoint 4",0,59,28
"5","User #25372","Timepoint 5",0,59,28
"6","User #25372","Timepoint 6",0,59,28
"7","User #25372","Timepoint 7",0,59,28
"8","User #25372","Timepoint 8",0,59,28
"9","User #25372","Timepoint 9",0,59,28
"10","User #25372","Timepoint 10",0,59,28
"11","User #25372","Timepoint 11",0,59,28
"12","User #25372","Timepoint 12",0,59,28
"13","User #25372","Timepoint 13",0,59,28
"14","User #25372","Timepoint 14",0,59,28
"15","User #25372","Timepoint 15",0,59,28
"16","User #25372","Timepoint 16",0,59,28
"17","User #25372","Timepoint 17",NA,59,28
"18","User #25372","Timepoint 18",NA,59,28
"19","User #25372","Timepoint 19",NA,59,28
"20","User #25372","Timepoint 20",NA,59,28
"21","User #25372","Timepoint 21",NA,59,28
"22","User #25372","Timepoint 22",NA,59,28
"23","User #25372","Timepoint 23",NA,59,28
"24","User #25372","Timepoint 24",NA,59,28
"25","User #25372","Timepoint 25",11.9882163405418,59,28
"26","User #25372","Timepoint 26",11.919986307621,59,28
"27","User #25372","Timepoint 27",11.7600996792316,59,28
"28","User #25372","Timepoint 28",11.9164085388184,59,28
"29","User #25372","Timepoint 29",12.0223419964314,59,28
"30","User #25372","Timepoint 30",12.0130162239075,59,28
"31","User #25372","Timepoint 31",11.9052972197533,59,28
"32","User #25372","Timepoint 32",12.2228220105171,59,28
"33","User #25372","Timepoint 33",12.5627388358116,59,28
"34","User #25372","Timepoint 34",14.4780613780022,59,28
"35","User #25372","Timepoint 35",8.74891442805529,59,28
"36","User #25372","Timepoint 36",15.1208364367485,59,28
"37","User #25372","Timepoint 37",12.636439204216,59,28
"38","User #25372","Timepoint 38",11.1682372093201,59,28
"39","User #25372","Timepoint 39",11.9723882079124,59,28
"40","User #25372","Timepoint 40",10.9154034852982,59,28
"41","User #25372","Timepoint 41",14.4882748126984,59,28
"42","User #25372","Timepoint 42",12.073001742363,59,28
"43","User #25372","Timepoint 43",12.1459402441978,59,28
"44","User #25372","Timepoint 44",15.116021156311,59,28
"45","User #25372","Timepoint 45",10.4626035690308,59,28
"46","User #25372","Timepoint 46",12.9303694963455,59,28
"47","User #25372","Timepoint 47",10.9171658754349,59,28
"48","User #25372","Timepoint 48",11.6553645133972,59,28
"49","User #25372","Timepoint 49",12.03864133358,59,28
"50","User #25372","Timepoint 50",9.51586094498634,59,28
"51","User #25372","Timepoint 51",12.9969620704651,59,28
"52","User #25372","Timepoint 52",11.5728081464767,59,28
"53","User #25372","Timepoint 53",10.7400541305542,59,28
"54","User #25372","Timepoint 54",12.3715238571167,59,28
"55","User #25372","Timepoint 55",11.1184769868851,59,28
"56","User #25372","Timepoint 56",12.956406712532,59,28
"57","User #25372","Timepoint 57",10.1627778410912,59,28
"58","User #25372","Timepoint 58",10.9213775396347,59,28
"59","User #25372","Timepoint 59",10.3363400101662,59,28
"60","User #25372","Timepoint 60",9.76260781288147,59,28
"61","User #25372","Timepoint 61",12.8376295566559,59,28
"62","User #25372","Timepoint 62",11.6045490503311,59,28
"63","User #25372","Timepoint 63",11.8054404258728,59,28
"64","User #25372","Timepoint 64",11.3531942367554,59,28
"65","User #25309","Timepoint 1",0,59,28
"66","User #25309","Timepoint 2",0,59,28
"67","User #25309","Timepoint 3",0,59,28
"68","User #25309","Timepoint 4",0,59,28
"69","User #25309","Timepoint 5",0,59,28
"70","User #25309","Timepoint 6",0,59,28
"71","User #25309","Timepoint 7",0,59,28
"72","User #25309","Timepoint 8",0,59,28
"73","User #25309","Timepoint 9",0,59,28
"74","User #25309","Timepoint 10",0,59,28
"75","User #25309","Timepoint 11",0,59,28
"76","User #25309","Timepoint 12",0,59,28
"77","User #25309","Timepoint 13",0,59,28
"78","User #25309","Timepoint 14",0,59,28
"79","User #25309","Timepoint 15",0,59,28
"80","User #25309","Timepoint 16",0,59,28
"81","User #25309","Timepoint 17",NA,59,28
"82","User #25309","Timepoint 18",NA,59,28
"83","User #25309","Timepoint 19",NA,59,28
"84","User #25309","Timepoint 20",NA,59,28
"85","User #25309","Timepoint 21",NA,59,28
"86","User #25309","Timepoint 22",NA,59,28
"87","User #25309","Timepoint 23",NA,59,28
"88","User #25309","Timepoint 24",NA,59,28
"89","User #25309","Timepoint 25",8.16922682523727,59,28
