"","ID","Timepoint","Prediction","Bootstrap","Jackknife"
"1","User #25304","Timepoint 1",0,20,35
"2","User #25304","Timepoint 2",0,20,35
"3","User #25304","Timepoint 3",0,20,35
"4","User #25304","Timepoint 4",0,20,35
"5","User #25304","Timepoint 5",0,20,35
"6","User #25304","Timepoint 6",0,20,35
"7","User #25304","Timepoint 7",0,20,35
"8","User #25304","Timepoint 8",0,20,35
"9","User #25304","Timepoint 9",0,20,35
"10","User #25304","Timepoint 10",0,20,35
"11","User #25304","Timepoint 11",0,20,35
"12","User #25304","Timepoint 12",0,20,35
"13","User #25304","Timepoint 13",0,20,35
"14","User #25304","Timepoint 14",0,20,35
"15","User #25304","Timepoint 15",0,20,35
"16","User #25304","Timepoint 16",0,20,35
"17","User #25304","Timepoint 17",NA,20,35
"18","User #25304","Timepoint 18",NA,20,35
"19","User #25304","Timepoint 19",NA,20,35
"20","User #25304","Timepoint 20",NA,20,35
"21","User #25304","Timepoint 21",NA,20,35
"22","User #25304","Timepoint 22",NA,20,35
"23","User #25304","Timepoint 23",NA,20,35
"24","User #25304","Timepoint 24",NA,20,35
"25","User #25304","Timepoint 25",NA,20,35
"26","User #25304","Timepoint 26",NA,20,35
"27","User #25304","Timepoint 27",NA,20,35
"28","User #25304","Timepoint 28",NA,20,35
"29","User #25304","Timepoint 29",NA,20,35
"30","User #25304","Timepoint 30",NA,20,35
"31","User #25304","Timepoint 31",NA,20,35
"32","User #25304","Timepoint 32",NA,20,35
"33","User #25304","Timepoint 33",7.69196331501007,20,35
"34","User #25304","Timepoint 34",7.70196080207825,20,35
"35","User #25304","Timepoint 35",7.69178116321564,20,35
"36","User #25304","Timepoint 36",7.72916793823242,20,35
"37","User #25304","Timepoint 37",7.69423711299896,20,35
"38","User #25304","Timepoint 38",7.7064368724823,20,35
"39","User #25304","Timepoint 39",7.67435359954834,20,35
"40","User #25304","Timepoint 40",7.68543326854706,20,35
"41","User #25304","Timepoint 41",7.48148369789124,20,35
"42","User #25304","Timepoint 42",7.66178679466248,20,35
"43","User #25304","Timepoint 43",7.90955209732056,20,35
"44","User #25304","Timepoint 44",7.86700654029846,20,35
"45","User #25304","Timepoint 45",7.65823113918304,20,35
"46","User #25304","Timepoint 46",7.53538823127747,20,35
"47","User #25304","Timepoint 47",7.63104295730591,20,35
"48","User #25304","Timepoint 48",7.43884479999542,20,35
"49","User #25304","Timepoint 49",7.65877318382263,20,35
"50","User #25304","Timepoint 50",7.7594256401062,20,35
"51","User #25304","Timepoint 51",7.85416460037231,20,35
"52","User #25304","Timepoint 52",7.91187977790833,20,35
"53","User #25304","Timepoint 53",7.69675636291504,20,35
"54","User #25304","Timepoint 54",7.67902874946594,20,35
"55","User #25304","Timepoint 55",7.60361433029175,20,35
"56","User #25304","Timepoint 56",7.61715078353882,20,35
"57","User #25304","Timepoint 57",7.29220402240753,20,35
"58","User #25304","Timepoint 58",7.46484017372131,20,35
"59","User #25304","Timepoint 59",7.50537574291229,20,35
"60","User #25304","Timepoint 60",7.46041393280029,20,35
"61","User #25304","Timepoint 61",7.24277520179749,20,35
"62","User #25304","Timepoint 62",7.2878110408783,20,35
"63","User #25304","Timepoint 63",7.22009980678558,20,35
"64","User #25304","Timepoint 64",7.20836472511292,20,35
"65","User #25318","Timepoint 1",0,20,35
"66","User #25318","Timepoint 2",0,20,35
"67","User #25318","Timepoint 3",0,20,35
"68","User #25318","Timepoint 4",0,20,35
