"","ID","Timepoint","Prediction","Bootstrap","Jackknife"
"1","User #25358","Timepoint 1",0,79,43
"2","User #25358","Timepoint 2",0,79,43
"3","User #25358","Timepoint 3",0,79,43
"4","User #25358","Timepoint 4",0,79,43
"5","User #25358","Timepoint 5",0,79,43
"6","User #25358","Timepoint 6",0,79,43
"7","User #25358","Timepoint 7",0,79,43
"8","User #25358","Timepoint 8",0,79,43
"9","User #25358","Timepoint 9",0,79,43
"10","User #25358","Timepoint 10",0,79,43
"11","User #25358","Timepoint 11",0,79,43
"12","User #25358","Timepoint 12",0,79,43
"13","User #25358","Timepoint 13",0,79,43
"14","User #25358","Timepoint 14",0,79,43
"15","User #25358","Timepoint 15",0,79,43
"16","User #25358","Timepoint 16",0,79,43
"17","User #25358","Timepoint 17",NA,79,43
"18","User #25358","Timepoint 18",NA,79,43
"19","User #25358","Timepoint 19",NA,79,43
"20","User #25358","Timepoint 20",NA,79,43
"21","User #25358","Timepoint 21",NA,79,43
"22","User #25358","Timepoint 22",NA,79,43
"23","User #25358","Timepoint 23",NA,79,43
"24","User #25358","Timepoint 24",NA,79,43
"25","User #25358","Timepoint 25",NA,79,43
"26","User #25358","Timepoint 26",NA,79,43
"27","User #25358","Timepoint 27",NA,79,43
"28","User #25358","Timepoint 28",NA,79,43
"29","User #25358","Timepoint 29",NA,79,43
"30","User #25358","Timepoint 30",NA,79,43
"31","User #25358","Timepoint 31",NA,79,43
"32","User #25358","Timepoint 32",NA,79,43
"33","User #25358","Timepoint 33",NA,79,43
"34","User #25358","Timepoint 34",NA,79,43
"35","User #25358","Timepoint 35",NA,79,43
"36","User #25358","Timepoint 36",NA,79,43
"37","User #25358","Timepoint 37",NA,79,43
"38","User #25358","Timepoint 38",NA,79,43
"39","User #25358","Timepoint 39",NA,79,43
"40","User #25358","Timepoint 40",NA,79,43
"41","User #25358","Timepoint 41",7.01081562042236,79,43
"42","User #25358","Timepoint 42",7.00878655910492,79,43
"43","User #25358","Timepoint 43",6.99524468183517,79,43
"44","User #25358","Timepoint 44",6.98769706487656,79,43
"45","User #25358","Timepoint 45",6.87145632505417,79,43
"46","User #25358","Timepoint 46",7.00517284870148,79,43
"47","User #25358","Timepoint 47",6.91007536649704,79,43
"48","User #25358","Timepoint 48",6.87492924928665,79,43
"49","User #25358","Timepoint 49",6.90478324890137,79,43
"50","User #25358","Timepoint 50",6.85645961761475,79,43
"51","User #25358","Timepoint 51",6.92661416530609,79,43
"52","User #25358","Timepoint 52",6.90099781751633,79,43
"53","User #25358","Timepoint 53",6.79908406734467,79,43
"54","User #25358","Timepoint 54",6.92039221525192,79,43
"55","User #25358","Timepoint 55",6.80347543954849,79,43
"56","User #25358","Timepoint 56",6.78605270385742,79,43
"57","User #25358","Timepoint 57",6.90953648090363,79,43
"58","User #25358","Timepoint 58",6.87324124574661,79,43
"59","User #25358","Timepoint 59",6.92814528942108,79,43
"60","User #25358","Timepoint 60",6.9058638215065,79,43
"61","User #25358","Timepoint 61",6.80367195606232,79,43
"62","User #25358","Timepoint 62",6.92844820022583,79,43
"63","User #25358","Timepoint 63",6.81175804138184,79,43
"64","User #25358","Timepoint 64",6.80174678564072,79,43
"65","User #25349","Timepoint 1",0,79,43
"66","User #25349","Timepoint 2",0,79,43
"67","User #25349","Timepoint 3",0,79,43
"68","User #25349","Timepoint 4",0,79,43
"69","User #25349","Timepoint 5",0,79,43
"70","User #25349","Timepoint 6",0,79,43
"71","User #25349","Timepoint 7",0,79,43
"72","User #25349","Timepoint 8",0,79,43
"73","User #25349","Timepoint 9",0,79,43
"74","User #25349","Timepoint 10",0,79,43
"75","User #25349","Timepoint 11",0,79,43
"76","User #25349","Timepoint 12",0,79,43
"77","User #25349","Timepoint 13",0,79,43
"78","User #25349","Timepoint 14",0,79,43
"79","User #25349","Timepoint 15",0,79,43
"80","User #25349","Timepoint 16",0,79,43
"81","User #25349","Timepoint 17",NA,79,43
"82","User #25349","Timepoint 18",NA,79,43
"83","User #25349","Timepoint 19",NA,79,43
"84","User #25349","Timepoint 20",NA,79,43
"85","User #25349","Timepoint 21",NA,79,43
"86","User #25349","Timepoint 22",NA,79,43
"87","User #25349","Timepoint 23",NA,79,43
"88","User #25349","Timepoint 24",NA,79,43
"89","User #25349","Timepoint 25",NA,79,43
"90","User #25349","Timepoint 26",NA,79,43
"91","User #25349","Timepoint 27",NA,79,43
"92","User #25349","Timepoint 28",NA,79,43
"93","User #25349","Timepoint 29",NA,79,43
"94","User #25349","Timepoint 30",NA,79,43
"95","User #25349","Timepoint 31",NA,79,43
"96","User #25349","Timepoint 32",NA,79,43
"97","User #25349","Timepoint 33",NA,79,43
"98","User #25349","Timepoint 34",NA,79,43
"99","User #25349","Timepoint 35",NA,79,43
"100","User #25349","Timepoint 36",NA,79,43
"101","User #25349","Timepoint 37",NA,79,43
"102","User #25349","Timepoint 38",NA,79,43
"103","User #25349","Timepoint 39",NA,79,43
"104","User #25349","Timepoint 40",NA,79,43
"105","User #25349","Timepoint 41",6.61575055122375,79,43
"106","User #25349","Timepoint 42",6.57680034637451,79,43
"107","User #25349","Timepoint 43",6.61034393310547,79,43
"108","User #25349","Timepoint 44",6.62480676174164,79,43
"109","User #25349","Timepoint 45",6.60816669464111,79,43
"110","User #25349","Timepoint 46",6.58031332492828,79,43
"111","User #25349","Timepoint 47",6.58801680803299,79,43
"112","User #25349","Timepoint 48",6.59342843294144,79,43
"113","User #25349","Timepoint 49",7.56789153814316,79,43
"114","User #25349","Timepoint 50",7.44589814543724,79,43
"115","User #25349","Timepoint 51",7.56243360042572,79,43
"116","User #25349","Timepoint 52",7.56784987449646,79,43
"117","User #25349","Timepoint 53",7.4899029135704,79,43
"118","User #25349","Timepoint 54",7.4905623793602,79,43
"119","User #25349","Timepoint 55",7.43173867464066,79,43
"120","User #25349","Timepoint 56",7.42333111166954,79,43
"121","User #25349","Timepoint 57",7.54234474897385,79,43
"122","User #25349","Timepoint 58",7.44689896702766,79,43
"123","User #25349","Timepoint 59",7.55000996589661,79,43
"124","User #25349","Timepoint 60",7.54194277524948,79,43
"125","User #25349","Timepoint 61",7.50248247385025,79,43
"126","User #25349","Timepoint 62",7.47253158688545,79,43
"127","User #25349","Timepoint 63",7.43311813473701,79,43
"128","User #25349","Timepoint 64",7.43159088492393,79,43
"129","User #25318","Timepoint 1",0,79,43
"130","User #25318","Timepoint 2",0,79,43
"131","User #25318","Timepoint 3",0,79,43
"132","User #25318","Timepoint 4",0,79,43
"133","User #25318","Timepoint 5",0,79,43
"134","User #25318","Timepoint 6",0,79,43
"135","User #25318","Timepoint 7",0,79,43
"136","User #25318","Timepoint 8",0,79,43
"137","User #25318","Timepoint 9",0,79,43
"138","User #25318","Timepoint 10",0,79,43
"139","User #25318","Timepoint 11",0,79,43
"140","User #25318","Timepoint 12",0,79,43
"141","User #25318","Timepoint 13",0,79,43
"142","User #25318","Timepoint 14",0,79,43
"143","User #25318","Timepoint 15",0,79,43
"144","User #25318","Timepoint 16",0,79,43
"145","User #25318","Timepoint 17",NA,79,43
"146","User #25318","Timepoint 18",NA,79,43
"147","User #25318","Timepoint 19",NA,79,43
"148","User #25318","Timepoint 20",NA,79,43
"149","User #25318","Timepoint 21",NA,79,43
"150","User #25318","Timepoint 22",NA,79,43
"151","User #25318","Timepoint 23",NA,79,43
"152","User #25318","Timepoint 24",NA,79,43
"153","User #25318","Timepoint 25",NA,79,43
"154","User #25318","Timepoint 26",NA,79,43
"155","User #25318","Timepoint 27",NA,79,43
"156","User #25318","Timepoint 28",NA,79,43
"157","User #25318","Timepoint 29",NA,79,43
"158","User #25318","Timepoint 30",NA,79,43
"159","User #25318","Timepoint 31",NA,79,43
"160","User #25318","Timepoint 32",NA,79,43
"161","User #25318","Timepoint 33",NA,79,43
"162","User #25318","Timepoint 34",NA,79,43
"163","User #25318","Timepoint 35",NA,79,43
"164","User #25318","Timepoint 36",NA,79,43
"165","User #25318","Timepoint 37",NA,79,43
"166","User #25318","Timepoint 38",NA,79,43
"167","User #25318","Timepoint 39",NA,79,43
"168","User #25318","Timepoint 40",NA,79,43
"169","User #25318","Timepoint 41",12.1189720928669,79,43
"170","User #25318","Timepoint 42",12.1413086354733,79,43
"171","User #25318","Timepoint 43",12.2385777533054,79,43
"172","User #25318","Timepoint 44",12.2583772242069,79,43
"173","User #25318","Timepoint 45",12.0084723830223,79,43
"174","User #25318","Timepoint 46",12.2849978506565,79,43
"175","User #25318","Timepoint 47",12.0223736763,79,43
"176","User #25318","Timepoint 48",12.0597334206104,79,43
"177","User #25318","Timepoint 49",12.10433781147,79,43
"178","User #25318","Timepoint 50",12.1612323820591,79,43
"179","User #25318","Timepoint 51",12.2096149623394,79,43
"180","User #25318","Timepoint 52",12.2719670832157,79,43
"181","User #25318","Timepoint 53",12.0025104284286,79,43
"182","User #25318","Timepoint 54",12.239326685667,79,43
"183","User #25318","Timepoint 55",12.0473521947861,79,43
"184","User #25318","Timepoint 56",12.1283666789532,79,43
"185","User #25318","Timepoint 57",12.3824003338814,79,43
"186","User #25318","Timepoint 58",12.5293320417404,79,43
"187","User #25318","Timepoint 59",12.4518646299839,79,43
"188","User #25318","Timepoint 60",12.5184106826782,79,43
"189","User #25318","Timepoint 61",12.279814183712,79,43
"190","User #25318","Timepoint 62",12.5610694289207,79,43
"191","User #25318","Timepoint 63",12.3218356072903,79,43
"192","User #25318","Timepoint 64",12.4088723957539,79,43
"193","User #25370","Timepoint 1",0,79,43
"194","User #25370","Timepoint 2",0,79,43
"195","User #25370","Timepoint 3",0,79,43
"196","User #25370","Timepoint 4",0,79,43
"197","User #25370","Timepoint 5",0,79,43
"198","User #25370","Timepoint 6",0,79,43
"199","User #25370","Timepoint 7",0,79,43
"200","User #25370","Timepoint 8",0,79,43
"201","User #25370","Timepoint 9",0,79,43
"202","User #25370","Timepoint 10",0,79,43
"203","User #25370","Timepoint 11",0,79,43
"204","User #25370","Timepoint 12",0,79,43
"205","User #25370","Timepoint 13",0,79,43
"206","User #25370","Timepoint 14",0,79,43
"207","User #25370","Timepoint 15",0,79,43
"208","User #25370","Timepoint 16",0,79,43
"209","User #25370","Timepoint 17",NA,79,43
"210","User #25370","Timepoint 18",NA,79,43
"211","User #25370","Timepoint 19",NA,79,43
"212","User #25370","Timepoint 20",NA,79,43
"213","User #25370","Timepoint 21",NA,79,43
