"","ID","Timepoint","Prediction","Bootstrap","Jackknife"
"1","User #25304","Timepoint 1",0,2,38
"2","User #25304","Timepoint 2",0,2,38
"3","User #25304","Timepoint 3",0,2,38
"4","User #25304","Timepoint 4",0,2,38
"5","User #25304","Timepoint 5",0,2,38
"6","User #25304","Timepoint 6",0,2,38
"7","User #25304","Timepoint 7",0,2,38
"8","User #25304","Timepoint 8",0,2,38
"9","User #25304","Timepoint 9",0,2,38
"10","User #25304","Timepoint 10",0,2,38
"11","User #25304","Timepoint 11",0,2,38
"12","User #25304","Timepoint 12",0,2,38
"13","User #25304","Timepoint 13",0,2,38
"14","User #25304","Timepoint 14",0,2,38
"15","User #25304","Timepoint 15",0,2,38
"16","User #25304","Timepoint 16",0,2,38
"17","User #25304","Timepoint 17",NA,2,38
"18","User #25304","Timepoint 18",NA,2,38
"19","User #25304","Timepoint 19",NA,2,38
"20","User #25304","Timepoint 20",NA,2,38
"21","User #25304","Timepoint 21",NA,2,38
"22","User #25304","Timepoint 22",NA,2,38
"23","User #25304","Timepoint 23",NA,2,38
"24","User #25304","Timepoint 24",NA,2,38
"25","User #25304","Timepoint 25",NA,2,38
"26","User #25304","Timepoint 26",NA,2,38
"27","User #25304","Timepoint 27",NA,2,38
"28","User #25304","Timepoint 28",NA,2,38
"29","User #25304","Timepoint 29",NA,2,38
"30","User #25304","Timepoint 30",NA,2,38
"31","User #25304","Timepoint 31",NA,2,38
"32","User #25304","Timepoint 32",NA,2,38
"33","User #25304","Timepoint 33",9.12626481056213,2,38
"34","User #25304","Timepoint 34",8.76040363311768,2,38
"35","User #25304","Timepoint 35",8.48179483413696,2,38
"36","User #25304","Timepoint 36",8.72248768806458,2,38
"37","User #25304","Timepoint 37",8.86591005325317,2,38
"38","User #25304","Timepoint 38",8.73221445083618,2,38
"39","User #25304","Timepoint 39",8.72512292861938,2,38
"40","User #25304","Timepoint 40",8.68693733215332,2,38
"41","User #25304","Timepoint 41",7.72759199142456,2,38
"42","User #25304","Timepoint 42",7.6065593957901,2,38
"43","User #25304","Timepoint 43",7.663498878479,2,38
"44","User #25304","Timepoint 44",7.59104824066162,2,38
"45","User #25304","Timepoint 45",7.59802651405334,2,38
"46","User #25304","Timepoint 46",7.61787283420563,2,38
"47","User #25304","Timepoint 47",7.84340596199036,2,38
"48","User #25304","Timepoint 48",7.93452048301697,2,38
"49","User #25304","Timepoint 49",7.99594759941101,2,38
"50","User #25304","Timepoint 50",7.74766230583191,2,38
"51","User #25304","Timepoint 51",7.72916436195374,2,38
"52","User #25304","Timepoint 52",7.78664743900299,2,38
"53","User #25304","Timepoint 53",7.84705829620361,2,38
"54","User #25304","Timepoint 54",7.8276686668396,2,38
"55","User #25304","Timepoint 55",7.98782515525818,2,38
"56","User #25304","Timepoint 56",8.07534742355347,2,38
"57","User #25304","Timepoint 57",8.22758984565735,2,38
"58","User #25304","Timepoint 58",7.91882979869843,2,38
"59","User #25304","Timepoint 59",7.872403383255,2,38
"60","User #25304","Timepoint 60",7.96997857093811,2,38
"61","User #25304","Timepoint 61",8.00459909439087,2,38
"62","User #25304","Timepoint 62",8.03855085372925,2,38
"63","User #25304","Timepoint 63",8.14283132553101,2,38
"64","User #25304","Timepoint 64",8.22260475158691,2,38
"65","User #25348","Timepoint 1",0,2,38
"66","User #25348","Timepoint 2",0,2,38
"67","User #25348","Timepoint 3",0,2,38
"68","User #25348","Timepoint 4",0,2,38
"69","User #25348","Timepoint 5",0,2,38
"70","User #25348","Timepoint 6",0,2,38
"71","User #25348","Timepoint 7",0,2,38
"72","User #25348","Timepoint 8",0,2,38
"73","User #25348","Timepoint 9",0,2,38
"74","User #25348","Timepoint 10",0,2,38
"75","User #25348","Timepoint 11",0,2,38
"76","User #25348","Timepoint 12",0,2,38
"77","User #25348","Timepoint 13",0,2,38
"78","User #25348","Timepoint 14",0,2,38
"79","User #25348","Timepoint 15",0,2,38
"80","User #25348","Timepoint 16",0,2,38
