"","ID","Timepoint","Prediction","Bootstrap","Jackknife"
"1","User #25383","Timepoint 1",0,75,11
"2","User #25383","Timepoint 2",0,75,11
"3","User #25383","Timepoint 3",0,75,11
"4","User #25383","Timepoint 4",0,75,11
"5","User #25383","Timepoint 5",0,75,11
"6","User #25383","Timepoint 6",0,75,11
"7","User #25383","Timepoint 7",0,75,11
"8","User #25383","Timepoint 8",0,75,11
"9","User #25383","Timepoint 9",0,75,11
"10","User #25383","Timepoint 10",0,75,11
"11","User #25383","Timepoint 11",0,75,11
"12","User #25383","Timepoint 12",0,75,11
"13","User #25383","Timepoint 13",0,75,11
"14","User #25383","Timepoint 14",0,75,11
"15","User #25383","Timepoint 15",0,75,11
"16","User #25383","Timepoint 16",0,75,11
"17","User #25383","Timepoint 17",6.71178743243217,75,11
"18","User #25383","Timepoint 18",6.65346249938011,75,11
"19","User #25383","Timepoint 19",6.47173032164574,75,11
"20","User #25383","Timepoint 20",6.36464104056358,75,11
"21","User #25383","Timepoint 21",6.23811542987823,75,11
"22","User #25383","Timepoint 22",6.56000658869743,75,11
"23","User #25383","Timepoint 23",6.05792313814163,75,11
"24","User #25383","Timepoint 24",6.49705052375793,75,11
"25","User #25383","Timepoint 25",6.72991067171097,75,11
"26","User #25383","Timepoint 26",6.67045801877975,75,11
"27","User #25383","Timepoint 27",6.48687958717346,75,11
"28","User #25383","Timepoint 28",6.38360500335693,75,11
"29","User #25383","Timepoint 29",6.25456631183624,75,11
"30","User #25383","Timepoint 30",6.57074749469757,75,11
"31","User #25383","Timepoint 31",6.07586249709129,75,11
"32","User #25383","Timepoint 32",6.51780724525452,75,11
"33","User #25383","Timepoint 33",6.7035399377346,75,11
"34","User #25383","Timepoint 34",6.64250507950783,75,11
"35","User #25383","Timepoint 35",6.45941078662872,75,11
"36","User #25383","Timepoint 36",6.34407743811607,75,11
"37","User #25383","Timepoint 37",6.22343361377716,75,11
"38","User #25383","Timepoint 38",6.55322149395943,75,11
