"","ID","Timepoint","Prediction","Bootstrap","Jackknife"
"1","User #25375","Timepoint 1",0,54,38
"2","User #25375","Timepoint 2",0,54,38
"3","User #25375","Timepoint 3",0,54,38
"4","User #25375","Timepoint 4",0,54,38
"5","User #25375","Timepoint 5",0,54,38
"6","User #25375","Timepoint 6",0,54,38
"7","User #25375","Timepoint 7",0,54,38
"8","User #25375","Timepoint 8",0,54,38
"9","User #25375","Timepoint 9",0,54,38
"10","User #25375","Timepoint 10",0,54,38
"11","User #25375","Timepoint 11",0,54,38
"12","User #25375","Timepoint 12",0,54,38
"13","User #25375","Timepoint 13",0,54,38
"14","User #25375","Timepoint 14",0,54,38
"15","User #25375","Timepoint 15",0,54,38
"16","User #25375","Timepoint 16",0,54,38
"17","User #25375","Timepoint 17",NA,54,38
"18","User #25375","Timepoint 18",NA,54,38
"19","User #25375","Timepoint 19",NA,54,38
"20","User #25375","Timepoint 20",NA,54,38
"21","User #25375","Timepoint 21",NA,54,38
"22","User #25375","Timepoint 22",NA,54,38
"23","User #25375","Timepoint 23",NA,54,38
"24","User #25375","Timepoint 24",NA,54,38
"25","User #25375","Timepoint 25",NA,54,38
"26","User #25375","Timepoint 26",NA,54,38
"27","User #25375","Timepoint 27",NA,54,38
"28","User #25375","Timepoint 28",NA,54,38
"29","User #25375","Timepoint 29",NA,54,38
"30","User #25375","Timepoint 30",NA,54,38
"31","User #25375","Timepoint 31",NA,54,38
"32","User #25375","Timepoint 32",NA,54,38
"33","User #25375","Timepoint 33",9.67449593544006,54,38
"34","User #25375","Timepoint 34",9.80500626564026,54,38
"35","User #25375","Timepoint 35",10.0014171600342,54,38
"36","User #25375","Timepoint 36",9.92367243766785,54,38
"37","User #25375","Timepoint 37",9.82847595214844,54,38
"38","User #25375","Timepoint 38",9.60681962966919,54,38
"39","User #25375","Timepoint 39",9.85219848155975,54,38
"40","User #25375","Timepoint 40",9.81701517105103,54,38
"41","User #25375","Timepoint 41",9.45953679084778,54,38
"42","User #25375","Timepoint 42",9.63262462615967,54,38
"43","User #25375","Timepoint 43",9.7898758649826,54,38
"44","User #25375","Timepoint 44",9.79051220417023,54,38
"45","User #25375","Timepoint 45",9.71014523506165,54,38
"46","User #25375","Timepoint 46",9.51124274730682,54,38
"47","User #25375","Timepoint 47",9.71955835819244,54,38
"48","User #25375","Timepoint 48",9.65308344364166,54,38
"49","User #25375","Timepoint 49",8.73594832420349,54,38
"50","User #25375","Timepoint 50",8.91558361053467,54,38
"51","User #25375","Timepoint 51",9.21350938081741,54,38
"52","User #25375","Timepoint 52",9.12207213044167,54,38
"53","User #25375","Timepoint 53",8.99540063738823,54,38
"54","User #25375","Timepoint 54",8.67649790644646,54,38
"55","User #25375","Timepoint 55",8.91335007548332,54,38
"56","User #25375","Timepoint 56",8.75646036863327,54,38
"57","User #25375","Timepoint 57",8.49025335907936,54,38
"58","User #25375","Timepoint 58",8.73195153474808,54,38
"59","User #25375","Timepoint 59",8.96453332901001,54,38
"60","User #25375","Timepoint 60",8.85690149664879,54,38
"61","User #25375","Timepoint 61",8.85726493597031,54,38
"62","User #25375","Timepoint 62",8.56118243932724,54,38
"63","User #25375","Timepoint 63",8.75997629761696,54,38
"64","User #25375","Timepoint 64",8.58197164535522,54,38
"65","User #25391","Timepoint 1",0,54,38
"66","User #25391","Timepoint 2",0,54,38
"67","User #25391","Timepoint 3",0,54,38
"68","User #25391","Timepoint 4",0,54,38
"69","User #25391","Timepoint 5",0,54,38
"70","User #25391","Timepoint 6",0,54,38
"71","User #25391","Timepoint 7",0,54,38
"72","User #25391","Timepoint 8",0,54,38
"73","User #25391","Timepoint 9",0,54,38
"74","User #25391","Timepoint 10",0,54,38
"75","User #25391","Timepoint 11",0,54,38
"76","User #25391","Timepoint 12",0,54,38
"77","User #25391","Timepoint 13",0,54,38
"78","User #25391","Timepoint 14",0,54,38
"79","User #25391","Timepoint 15",0,54,38
"80","User #25391","Timepoint 16",0,54,38
"81","User #25391","Timepoint 17",NA,54,38
"82","User #25391","Timepoint 18",NA,54,38
"83","User #25391","Timepoint 19",NA,54,38
"84","User #25391","Timepoint 20",NA,54,38
"85","User #25391","Timepoint 21",NA,54,38
"86","User #25391","Timepoint 22",NA,54,38
"87","User #25391","Timepoint 23",NA,54,38
"88","User #25391","Timepoint 24",NA,54,38
"89","User #25391","Timepoint 25",NA,54,38
"90","User #25391","Timepoint 26",NA,54,38
"91","User #25391","Timepoint 27",NA,54,38
"92","User #25391","Timepoint 28",NA,54,38
"93","User #25391","Timepoint 29",NA,54,38
"94","User #25391","Timepoint 30",NA,54,38
"95","User #25391","Timepoint 31",NA,54,38
"96","User #25391","Timepoint 32",NA,54,38
"97","User #25391","Timepoint 33",10.1080545186996,54,38
"98","User #25391","Timepoint 34",10.1444236636162,54,38
"99","User #25391","Timepoint 35",10.4162308573723,54,38
"100","User #25391","Timepoint 36",10.3665542006493,54,38
"101","User #25391","Timepoint 37",10.349442332983,54,38
"102","User #25391","Timepoint 38",10.1842811107635,54,38
