"","ID","Timepoint","Prediction","Bootstrap","Jackknife"
"1","User #25305","Timepoint 1",0,30,5
"2","User #25305","Timepoint 2",0,30,5
"3","User #25305","Timepoint 3",0,30,5
"4","User #25305","Timepoint 4",0,30,5
"5","User #25305","Timepoint 5",0,30,5
"6","User #25305","Timepoint 6",0,30,5
"7","User #25305","Timepoint 7",0,30,5
"8","User #25305","Timepoint 8",0,30,5
"9","User #25305","Timepoint 9",0,30,5
"10","User #25305","Timepoint 10",0,30,5
"11","User #25305","Timepoint 11",0,30,5
"12","User #25305","Timepoint 12",0,30,5
"13","User #25305","Timepoint 13",0,30,5
"14","User #25305","Timepoint 14",0,30,5
"15","User #25305","Timepoint 15",0,30,5
"16","User #25305","Timepoint 16",0,30,5
"17","User #25305","Timepoint 17",7.84713041782379,30,5
"18","User #25305","Timepoint 18",7.69709753990173,30,5
"19","User #25305","Timepoint 19",7.81418812274933,30,5
"20","User #25305","Timepoint 20",7.82289862632751,30,5
"21","User #25305","Timepoint 21",7.79922902584076,30,5
"22","User #25305","Timepoint 22",7.77395486831665,30,5
"23","User #25305","Timepoint 23",7.75137877464294,30,5
"24","User #25305","Timepoint 24",7.80471849441528,30,5
"25","User #25305","Timepoint 25",7.91617834568024,30,5
"26","User #25305","Timepoint 26",7.72877430915833,30,5
"27","User #25305","Timepoint 27",7.86533319950104,30,5
"28","User #25305","Timepoint 28",7.83458352088928,30,5
"29","User #25305","Timepoint 29",7.82240068912506,30,5
"30","User #25305","Timepoint 30",7.82899522781372,30,5
"31","User #25305","Timepoint 31",7.75016844272614,30,5
"32","User #25305","Timepoint 32",7.81665539741516,30,5
"33","User #25305","Timepoint 33",7.62763106822968,30,5
"34","User #25305","Timepoint 34",7.4548248052597,30,5
"35","User #25305","Timepoint 35",7.51791572570801,30,5
"36","User #25305","Timepoint 36",7.48447895050049,30,5
"37","User #25305","Timepoint 37",7.43586349487305,30,5
"38","User #25305","Timepoint 38",7.43412899971008,30,5
"39","User #25305","Timepoint 39",7.39244675636292,30,5
"40","User #25305","Timepoint 40",7.41125535964966,30,5
"41","User #25305","Timepoint 41",7.46221220493317,30,5
"42","User #25305","Timepoint 42",7.32318007946014,30,5
"43","User #25305","Timepoint 43",7.34557497501373,30,5
"44","User #25305","Timepoint 44",7.35130643844604,30,5
"45","User #25305","Timepoint 45",7.33292996883392,30,5
"46","User #25305","Timepoint 46",7.31918048858643,30,5
"47","User #25305","Timepoint 47",7.32142663002014,30,5
"48","User #25305","Timepoint 48",7.36222243309021,30,5
"49","User #25305","Timepoint 49",7.44024312496185,30,5
"50","User #25305","Timepoint 50",7.31414794921875,30,5
"51","User #25305","Timepoint 51",7.3445086479187,30,5
"52","User #25305","Timepoint 52",7.34303641319275,30,5
"53","User #25305","Timepoint 53",7.30201995372772,30,5
"54","User #25305","Timepoint 54",7.30196475982666,30,5
"55","User #25305","Timepoint 55",7.29626309871674,30,5
"56","User #25305","Timepoint 56",7.33035600185394,30,5
"57","User #25305","Timepoint 57",7.48461508750916,30,5
"58","User #25305","Timepoint 58",7.3476539850235,30,5
"59","User #25305","Timepoint 59",7.39554536342621,30,5
"60","User #25305","Timepoint 60",7.37609529495239,30,5
"61","User #25305","Timepoint 61",7.33306419849396,30,5
"62","User #25305","Timepoint 62",7.3380012512207,30,5
"63","User #25305","Timepoint 63",7.3262392282486,30,5
"64","User #25305","Timepoint 64",7.32732915878296,30,5
"65","User #25335","Timepoint 1",0,30,5
"66","User #25335","Timepoint 2",0,30,5
"67","User #25335","Timepoint 3",0,30,5
"68","User #25335","Timepoint 4",0,30,5
"69","User #25335","Timepoint 5",0,30,5
"70","User #25335","Timepoint 6",0,30,5
"71","User #25335","Timepoint 7",0,30,5
"72","User #25335","Timepoint 8",0,30,5
"73","User #25335","Timepoint 9",0,30,5
"74","User #25335","Timepoint 10",0,30,5
"75","User #25335","Timepoint 11",0,30,5
"76","User #25335","Timepoint 12",0,30,5
"77","User #25335","Timepoint 13",0,30,5
"78","User #25335","Timepoint 14",0,30,5
"79","User #25335","Timepoint 15",0,30,5
"80","User #25335","Timepoint 16",0,30,5
"81","User #25335","Timepoint 17",5.54445838928223,30,5
"82","User #25335","Timepoint 18",5.55266177654266,30,5
"83","User #25335","Timepoint 19",5.58527445793152,30,5
"84","User #25335","Timepoint 20",5.49717050790787,30,5
"85","User #25335","Timepoint 21",5.21127496659756,30,5
"86","User #25335","Timepoint 22",5.33866491913795,30,5
"87","User #25335","Timepoint 23",5.46401423215866,30,5
"88","User #25335","Timepoint 24",5.38258227705956,30,5
"89","User #25335","Timepoint 25",6.14136242866516,30,5
"90","User #25335","Timepoint 26",6.08079791069031,30,5
"91","User #25335","Timepoint 27",6.10536956787109,30,5
"92","User #25335","Timepoint 28",6.08907008171082,30,5
"93","User #25335","Timepoint 29",6.02240252494812,30,5
"94","User #25335","Timepoint 30",6.06204056739807,30,5
"95","User #25335","Timepoint 31",6.10197961330414,30,5
"96","User #25335","Timepoint 32",6.10082316398621,30,5
"97","User #25335","Timepoint 33",6.3015558719635,30,5
"98","User #25335","Timepoint 34",6.22930669784546,30,5
"99","User #25335","Timepoint 35",6.27327656745911,30,5
"100","User #25335","Timepoint 36",6.28219795227051,30,5
"101","User #25335","Timepoint 37",6.17559862136841,30,5
"102","User #25335","Timepoint 38",6.16370522975922,30,5
"103","User #25335","Timepoint 39",6.23301362991333,30,5
"104","User #25335","Timepoint 40",6.19527637958527,30,5
"105","User #25335","Timepoint 41",6.68343234062195,30,5
"106","User #25335","Timepoint 42",6.57328081130981,30,5
"107","User #25335","Timepoint 43",6.63861393928528,30,5
"108","User #25335","Timepoint 44",6.65883994102478,30,5
"109","User #25335","Timepoint 45",6.57305026054382,30,5
"110","User #25335","Timepoint 46",6.54535388946533,30,5
"111","User #25335","Timepoint 47",6.53632855415344,30,5
"112","User #25335","Timepoint 48",6.57451927661896,30,5
"113","User #25335","Timepoint 49",6.09463068842888,30,5
"114","User #25335","Timepoint 50",6.10696187615395,30,5
"115","User #25335","Timepoint 51",6.06445387005806,30,5
"116","User #25335","Timepoint 52",6.15008366107941,30,5
"117","User #25335","Timepoint 53",6.03133860230446,30,5
"118","User #25335","Timepoint 54",5.99518859386444,30,5
"119","User #25335","Timepoint 55",6.0266447365284,30,5
"120","User #25335","Timepoint 56",6.00552967190742,30,5
"121","User #25335","Timepoint 57",6.01294186711311,30,5
"122","User #25335","Timepoint 58",5.9529470205307,30,5
"123","User #25335","Timepoint 59",5.9632360637188,30,5
"124","User #25335","Timepoint 60",5.98732882738113,30,5
"125","User #25335","Timepoint 61",5.88867834210396,30,5
"126","User #25335","Timepoint 62",5.87195879220963,30,5
"127","User #25335","Timepoint 63",5.91241589188576,30,5
"128","User #25335","Timepoint 64",5.90428638458252,30,5
"129","User #25322","Timepoint 1",0,30,5
"130","User #25322","Timepoint 2",0,30,5
"131","User #25322","Timepoint 3",0,30,5
"132","User #25322","Timepoint 4",0,30,5
"133","User #25322","Timepoint 5",0,30,5
"134","User #25322","Timepoint 6",0,30,5
"135","User #25322","Timepoint 7",0,30,5
"136","User #25322","Timepoint 8",0,30,5
"137","User #25322","Timepoint 9",0,30,5
"138","User #25322","Timepoint 10",0,30,5
"139","User #25322","Timepoint 11",0,30,5
"140","User #25322","Timepoint 12",0,30,5
"141","User #25322","Timepoint 13",0,30,5
"142","User #25322","Timepoint 14",0,30,5
"143","User #25322","Timepoint 15",0,30,5
"144","User #25322","Timepoint 16",0,30,5
"145","User #25322","Timepoint 17",10.5177204608917,30,5
"146","User #25322","Timepoint 18",10.3712191581726,30,5
"147","User #25322","Timepoint 19",10.4377131462097,30,5
"148","User #25322","Timepoint 20",10.4298386573792,30,5
"149","User #25322","Timepoint 21",10.1481733322144,30,5
"150","User #25322","Timepoint 22",10.1624429225922,30,5
"151","User #25322","Timepoint 23",10.2402408123016,30,5
"152","User #25322","Timepoint 24",10.2074055671692,30,5
"153","User #25322","Timepoint 25",10.4991097450256,30,5
"154","User #25322","Timepoint 26",10.3117430210114,30,5
"155","User #25322","Timepoint 27",10.3745396137238,30,5
"156","User #25322","Timepoint 28",10.3547434806824,30,5
"157","User #25322","Timepoint 29",10.1172773838043,30,5
"158","User #25322","Timepoint 30",10.1397948265076,30,5
"159","User #25322","Timepoint 31",10.2040734291077,30,5
"160","User #25322","Timepoint 32",10.1813814640045,30,5
"161","User #25322","Timepoint 33",11.6553447246552,30,5
"162","User #25322","Timepoint 34",11.356053352356,30,5
"163","User #25322","Timepoint 35",11.5521678924561,30,5
"164","User #25322","Timepoint 36",11.596851348877,30,5
"165","User #25322","Timepoint 37",11.5627908706665,30,5
"166","User #25322","Timepoint 38",11.4555892944336,30,5
"167","User #25322","Timepoint 39",11.4772574901581,30,5
"168","User #25322","Timepoint 40",11.5485117435455,30,5
"169","User #25322","Timepoint 41",11.4481961727142,30,5
"170","User #25322","Timepoint 42",11.171941280365,30,5
"171","User #25322","Timepoint 43",11.324688911438,30,5
"172","User #25322","Timepoint 44",11.2968339920044,30,5
"173","User #25322","Timepoint 45",11.1754665374756,30,5
"174","User #25322","Timepoint 46",11.1459913253784,30,5
"175","User #25322","Timepoint 47",11.0729238986969,30,5
"176","User #25322","Timepoint 48",11.1690237522125,30,5
"177","User #25322","Timepoint 49",12.1421928703785,30,5
"178","User #25322","Timepoint 50",11.8651475608349,30,5
"179","User #25322","Timepoint 51",11.9994920492172,30,5
"180","User #25322","Timepoint 52",11.9605546593666,30,5
"181","User #25322","Timepoint 53",11.8449382781982,30,5
"182","User #25322","Timepoint 54",11.8264736533165,30,5
"183","User #25322","Timepoint 55",11.7085660398006,30,5
"184","User #25322","Timepoint 56",11.7959011495113,30,5
"185","User #25322","Timepoint 57",11.9670234322548,30,5
"186","User #25322","Timepoint 58",11.7656161189079,30,5
"187","User #25322","Timepoint 59",11.8916647732258,30,5
"188","User #25322","Timepoint 60",11.9297987818718,30,5
"189","User #25322","Timepoint 61",11.7828749418259,30,5
"190","User #25322","Timepoint 62",11.7266862392426,30,5
"191","User #25322","Timepoint 63",11.7352488934994,30,5
"192","User #25322","Timepoint 64",11.7727149128914,30,5
"193","User #25299","Timepoint 1",0,30,5
"194","User #25299","Timepoint 2",0,30,5
"195","User #25299","Timepoint 3",0,30,5
"196","User #25299","Timepoint 4",0,30,5
"197","User #25299","Timepoint 5",0,30,5
"198","User #25299","Timepoint 6",0,30,5
"199","User #25299","Timepoint 7",0,30,5
"200","User #25299","Timepoint 8",0,30,5
"201","User #25299","Timepoint 9",0,30,5
"202","User #25299","Timepoint 10",0,30,5
"203","User #25299","Timepoint 11",0,30,5
"204","User #25299","Timepoint 12",0,30,5
"205","User #25299","Timepoint 13",0,30,5
"206","User #25299","Timepoint 14",0,30,5
"207","User #25299","Timepoint 15",0,30,5
"208","User #25299","Timepoint 16",0,30,5
"209","User #25299","Timepoint 17",10.2853429317474,30,5
"210","User #25299","Timepoint 18",10.1075592041016,30,5
"211","User #25299","Timepoint 19",10.1237604618073,30,5
"212","User #25299","Timepoint 20",10.1840825080872,30,5
"213","User #25299","Timepoint 21",10.1388761997223,30,5
"214","User #25299","Timepoint 22",10.078839302063,30,5
"215","User #25299","Timepoint 23",10.050356388092,30,5
"216","User #25299","Timepoint 24",10.1007070541382,30,5
"217","User #25299","Timepoint 25",10.2390892505646,30,5
"218","User #25299","Timepoint 26",10.0625276565552,30,5
"219","User #25299","Timepoint 27",10.0641920566559,30,5
"220","User #25299","Timepoint 28",10.1148343086243,30,5
"221","User #25299","Timepoint 29",10.1080274581909,30,5
"222","User #25299","Timepoint 30",10.0441236495972,30,5
"223","User #25299","Timepoint 31",10.0172865390778,30,5
"224","User #25299","Timepoint 32",10.1056880950928,30,5
"225","User #25299","Timepoint 33",9.52863216400146,30,5
"226","User #25299","Timepoint 34",9.48142766952515,30,5
"227","User #25299","Timepoint 35",9.51635527610779,30,5
"228","User #25299","Timepoint 36",9.51432657241821,30,5
"229","User #25299","Timepoint 37",9.25414323806763,30,5
"230","User #25299","Timepoint 38",9.32931995391846,30,5
"231","User #25299","Timepoint 39",9.34581565856934,30,5
"232","User #25299","Timepoint 40",9.27490544319153,30,5
"233","User #25299","Timepoint 41",8.48121047019958,30,5
"234","User #25299","Timepoint 42",8.57418918609619,30,5
"235","User #25299","Timepoint 43",8.65756797790527,30,5
"236","User #25299","Timepoint 44",8.53150379657745,30,5
"237","User #25299","Timepoint 45",8.19444131851196,30,5
"238","User #25299","Timepoint 46",8.4152455329895,30,5
"239","User #25299","Timepoint 47",8.59477734565735,30,5
"240","User #25299","Timepoint 48",8.42002391815186,30,5
"241","User #25299","Timepoint 49",8.62475079298019,30,5
"242","User #25299","Timepoint 50",8.54678121209145,30,5
"243","User #25299","Timepoint 51",8.55704975128174,30,5
"244","User #25299","Timepoint 52",8.55767381191254,30,5
"245","User #25299","Timepoint 53",8.4942279458046,30,5
"246","User #25299","Timepoint 54",8.50526136159897,30,5
"247","User #25299","Timepoint 55",8.53475806117058,30,5
"248","User #25299","Timepoint 56",8.55582875013351,30,5
"249","User #25299","Timepoint 57",9.04671010375023,30,5
"250","User #25299","Timepoint 58",8.95383206009865,30,5
"251","User #25299","Timepoint 59",8.93803191184998,30,5
"252","User #25299","Timepoint 60",8.9799217581749,30,5
"253","User #25299","Timepoint 61",8.99871197342873,30,5
"254","User #25299","Timepoint 62",8.94808155298233,30,5
"255","User #25299","Timepoint 63",8.94055542349815,30,5
"256","User #25299","Timepoint 64",8.98498740792274,30,5
"257","User #25384","Timepoint 1",0,30,5
"258","User #25384","Timepoint 2",0,30,5
"259","User #25384","Timepoint 3",0,30,5
"260","User #25384","Timepoint 4",0,30,5
"261","User #25384","Timepoint 5",0,30,5
"262","User #25384","Timepoint 6",0,30,5
"263","User #25384","Timepoint 7",0,30,5
"264","User #25384","Timepoint 8",0,30,5
"265","User #25384","Timepoint 9",0,30,5
"266","User #25384","Timepoint 10",0,30,5
"267","User #25384","Timepoint 11",0,30,5
"268","User #25384","Timepoint 12",0,30,5
"269","User #25384","Timepoint 13",0,30,5
"270","User #25384","Timepoint 14",0,30,5
"271","User #25384","Timepoint 15",0,30,5
"272","User #25384","Timepoint 16",0,30,5
"273","User #25384","Timepoint 17",8.23430761694908,30,5
"274","User #25384","Timepoint 18",8.11555361747742,30,5
"275","User #25384","Timepoint 19",8.13839745521545,30,5
"276","User #25384","Timepoint 20",8.14145123958588,30,5
"277","User #25384","Timepoint 21",8.09332990646362,30,5
"278","User #25384","Timepoint 22",8.04210615158081,30,5
"279","User #25384","Timepoint 23",8.05656200647354,30,5
"280","User #25384","Timepoint 24",8.09733954071999,30,5
"281","User #25384","Timepoint 25",8.1169006228447,30,5
"282","User #25384","Timepoint 26",8.02382671833038,30,5
"283","User #25384","Timepoint 27",8.03814765810966,30,5
